,ipg:site,ipg:merchantname,Country,Month,device_class,ord
49,iprice.co.id,LazMall,ID,2021-05,Mobile iOS,30
50,iprice.co.id,LazMall,ID,2021-05,Web Browsers,8
51,iprice.co.id,LazMall,ID,2021-06,Mobile Android,805
52,iprice.co.id,LazMall,ID,2021-06,Mobile Others,2
53,iprice.co.id,LazMall,ID,2021-06,Mobile iOS,21
54,iprice.co.id,LazMall,ID,2021-06,Web Browsers,13
55,iprice.co.id,LazMall,ID,2021-07,Mobile Android,314
56,iprice.co.id,LazMall,ID,2021-07,Mobile Others,24
57,iprice.co.id,LazMall,ID,2021-07,Mobile iOS,14
58,iprice.co.id,LazMall,ID,2021-07,Web Browsers,6
59,iprice.co.id,Lazada,ID,2021-03,Mobile Android,11869
60,iprice.co.id,Lazada,ID,2021-03,Mobile Others,389
61,iprice.co.id,Lazada,ID,2021-03,Mobile iOS,195
62,iprice.co.id,Lazada,ID,2021-03,Web Browsers,75
63,iprice.co.id,Lazada,ID,2021-04,Mobile Android,17858
64,iprice.co.id,Lazada,ID,2021-04,Mobile Others,234
65,iprice.co.id,Lazada,ID,2021-04,Mobile iOS,278
66,iprice.co.id,Lazada,ID,2021-04,Web Browsers,102
67,iprice.co.id,Lazada,ID,2021-05,Mobile Android,13940
68,iprice.co.id,Lazada,ID,2021-05,Mobile Others,169
69,iprice.co.id,Lazada,ID,2021-05,Mobile iOS,247
70,iprice.co.id,Lazada,ID,2021-05,Web Browsers,94
71,iprice.co.id,Lazada,ID,2021-06,Mobile Android,11876
72,iprice.co.id,Lazada,ID,2021-06,Mobile Others,160
73,iprice.co.id,Lazada,ID,2021-06,Mobile iOS,188
74,iprice.co.id,Lazada,ID,2021-06,Web Browsers,64
75,iprice.co.id,Lazada,ID,2021-07,Mobile Android,5234
76,iprice.co.id,Lazada,ID,2021-07,Mobile Others,485
77,iprice.co.id,Lazada,ID,2021-07,Mobile iOS,107
78,iprice.co.id,Lazada,ID,2021-07,Web Browsers,38
79,iprice.co.id,MAPCLUB Campaign,ID,2021-08,Mobile Others,5
80,iprice.co.id,MAPCLUB Campaign,ID,2021-09,Mobile Others,2
81,iprice.co.id,Mr Porter,ID,2021-06,Web Browsers,1
82,iprice.co.id,Pomelo,ID,2021-03,Mobile Others,11
83,iprice.co.id,Pomelo,ID,2021-04,Mobile Others,2
84,iprice.co.id,RupaRupa,ID,2021-03,Mobile Android,6
85,iprice.co.id,RupaRupa,ID,2021-03,Mobile Others,0
86,iprice.co.id,RupaRupa,ID,2021-04,Mobile Others,1
87,iprice.co.id,RupaRupa,ID,2021-06,Mobile Others,3
88,iprice.co.id,RupaRupa,ID,2021-07,Mobile Others,2
89,iprice.co.id,Ruparupa (ID),ID,2021-03,Mobile Others,1
90,iprice.co.id,SSENSE,ID,2021-05,Mobile Android,1
91,iprice.co.id,SSENSE,ID,2021-08,Mobile iOS,1
92,iprice.co.id,Shopee,ID,2021-03,Mobile Android,76879
93,iprice.co.id,Shopee,ID,2021-03,Mobile Others,2
94,iprice.co.id,Shopee,ID,2021-03,Mobile iOS,9226
95,iprice.co.id,Shopee,ID,2021-03,Web Browsers,2751
96,iprice.co.id,Shopee,ID,2021-04,Mobile Android,82377
97,iprice.co.id,Shopee,ID,2021-04,Mobile Others,73
98,iprice.co.id,Shopee,ID,2021-04,Mobile iOS,9719
99,iprice.co.id,Shopee,ID,2021-04,Web Browsers,2744
100,iprice.co.id,Shopee,ID,2021-05,Mobile Android,74169
101,iprice.co.id,Shopee,ID,2021-05,Mobile Others,16
102,iprice.co.id,Shopee,ID,2021-05,Mobile iOS,9558
103,iprice.co.id,Shopee,ID,2021-05,Web Browsers,2227
104,iprice.co.id,Shopee,ID,2021-06,Mobile Android,65099
105,iprice.co.id,Shopee,ID,2021-06,Mobile Others,401
106,iprice.co.id,Shopee,ID,2021-06,Mobile iOS,8940
107,iprice.co.id,Shopee,ID,2021-06,Web Browsers,2135
108,iprice.co.id,Shopee,ID,2021-07,Mobile Android,47017
109,iprice.co.id,Shopee,ID,2021-07,Mobile Others,5890
110,iprice.co.id,Shopee,ID,2021-07,Mobile iOS,6159
111,iprice.co.id,Shopee,ID,2021-07,Web Browsers,1666
112,iprice.co.id,Shopee,ID,2021-08,Mobile Android,27130
113,iprice.co.id,Shopee,ID,2021-08,Mobile Others,1159
114,iprice.co.id,Shopee,ID,2021-08,Mobile iOS,3903
115,iprice.co.id,Shopee,ID,2021-08,Web Browsers,1230
116,iprice.co.id,Shopee,ID,2021-09,Mobile Android,20136
117,iprice.co.id,Shopee,ID,2021-09,Mobile Others,1646
118,iprice.co.id,Shopee,ID,2021-09,Mobile iOS,3352
119,iprice.co.id,Shopee,ID,2021-09,Web Browsers,1072
120,iprice.co.id,Tokopedia,ID,2021-03,Mobile Android,3122
121,iprice.co.id,Tokopedia,ID,2021-03,Mobile iOS,548
122,iprice.co.id,Tokopedia,ID,2021-03,Web Browsers,382
123,iprice.co.id,Tokopedia,ID,2021-04,Mobile Android,2792
124,iprice.co.id,Tokopedia,ID,2021-04,Mobile iOS,727
125,iprice.co.id,Tokopedia,ID,2021-04,Web Browsers,456
126,iprice.co.id,Tokopedia,ID,2021-05,Mobile Android,3168
127,iprice.co.id,Tokopedia,ID,2021-05,Mobile iOS,423
128,iprice.co.id,Tokopedia,ID,2021-05,Web Browsers,489
129,iprice.co.id,Tokopedia,ID,2021-06,Mobile Android,2255
130,iprice.co.id,Tokopedia,ID,2021-06,Mobile Others,13
131,iprice.co.id,Tokopedia,ID,2021-06,Mobile iOS,263
132,iprice.co.id,Tokopedia,ID,2021-06,Web Browsers,383
133,iprice.co.id,Tokopedia,ID,2021-07,Mobile Android,2664
134,iprice.co.id,Tokopedia,ID,2021-07,Mobile Others,37
135,iprice.co.id,Tokopedia,ID,2021-07,Mobile iOS,132
136,iprice.co.id,Tokopedia,ID,2021-07,Web Browsers,315
137,iprice.co.id,Tokopedia,ID,2021-08,Mobile Android,4657
138,iprice.co.id,Tokopedia,ID,2021-08,Mobile iOS,296
139,iprice.co.id,Tokopedia,ID,2021-08,Web Browsers,341
140,iprice.co.id,Tokopedia,ID,2021-09,Mobile Android,4079
141,iprice.co.id,Tokopedia,ID,2021-09,Mobile iOS,287
142,iprice.co.id,Tokopedia,ID,2021-09,Web Browsers,332
143,iprice.co.id,Zalora,ID,2021-04,Mobile Others,1
144,iprice.co.id,Zalora,ID,2021-06,Mobile Others,3
145,iprice.co.id,asos,ID,2021-03,Mobile iOS,1
146,iprice.co.id,asos,ID,2021-03,Web Browsers,1
147,iprice.co.id,asos,ID,2021-06,Mobile iOS,1
148,iprice.co.id,blibli,ID,2021-03,Mobile Android,87
149,iprice.co.id,blibli,ID,2021-03,Mobile iOS,4
150,iprice.co.id,blibli,ID,2021-03,Web Browsers,227
151,iprice.co.id,blibli,ID,2021-04,Mobile Android,62
152,iprice.co.id,blibli,ID,2021-04,Mobile iOS,1
153,iprice.co.id,blibli,ID,2021-04,Web Browsers,159
154,iprice.co.id,blibli,ID,2021-05,Mobile Android,108
155,iprice.co.id,blibli,ID,2021-05,Mobile iOS,3
156,iprice.co.id,blibli,ID,2021-05,Web Browsers,164
157,iprice.co.id,blibli,ID,2021-06,Mobile Android,53
158,iprice.co.id,blibli,ID,2021-06,Mobile iOS,9
159,iprice.co.id,blibli,ID,2021-06,Web Browsers,90
160,iprice.co.id,blibli,ID,2021-07,Mobile Android,128
161,iprice.co.id,blibli,ID,2021-07,Mobile iOS,5
162,iprice.co.id,blibli,ID,2021-07,Web Browsers,305
163,iprice.co.id,blibli,ID,2021-08,Mobile Android,78
164,iprice.co.id,blibli,ID,2021-08,Mobile iOS,1
165,iprice.co.id,blibli,ID,2021-08,Web Browsers,209
166,iprice.co.id,blibli,ID,2021-09,Mobile Android,64
167,iprice.co.id,blibli,ID,2021-09,Mobile iOS,3
168,iprice.co.id,blibli,ID,2021-09,Web Browsers,128
169,iprice.co.id,farfetch,ID,2021-03,Mobile Android,1
170,iprice.co.id,farfetch,ID,2021-03,Mobile iOS,1
171,iprice.co.id,farfetch,ID,2021-04,Mobile Android,1
172,iprice.co.id,farfetch,ID,2021-04,Mobile iOS,1
173,iprice.co.id,grabexpress,ID,2021-05,Mobile iOS,2
174,iprice.co.id,grabexpress,ID,2021-06,Mobile iOS,3
175,iprice.co.id,iHerb,ID,2021-03,Mobile Others,4
176,iprice.co.id,iHerb,ID,2021-04,Mobile Others,2
177,iprice.co.id,iHerb,ID,2021-05,Mobile Others,2
178,iprice.co.id,iHerb,ID,2021-07,Mobile Others,15
179,iprice.co.id,iHerb,ID,2021-08,Mobile Others,3
180,iprice.co.id,iStyle (ID),ID,2021-09,Mobile Others,1
181,iprice.co.id,iherb,ID,2021-04,Mobile Android,1
182,iprice.co.id,iherb,ID,2021-06,Mobile Android,1
183,iprice.co.id,iherb,ID,2021-07,Mobile Android,1
184,iprice.co.id,istyle-by-ilotte,ID,2021-05,Mobile Android,1
185,iprice.co.id,istyle-by-ilotte,ID,2021-05,Web Browsers,1
186,iprice.co.id,istyleid,ID,2021-09,Web Browsers,1
187,iprice.co.id,jomashop,ID,2021-04,Web Browsers,1
188,iprice.co.id,jomashop,ID,2021-06,Mobile Android,1
189,iprice.co.id,jomashop,ID,2021-06,Web Browsers,1
190,iprice.co.id,jomashop,ID,2021-09,Mobile Android,1
191,iprice.co.id,kfc,ID,2021-04,Mobile iOS,2
192,iprice.co.id,kfc,ID,2021-05,Mobile iOS,1
193,iprice.co.id,michael-kors,ID,2021-05,Web Browsers,1
194,iprice.co.id,mytheresa,ID,2021-09,Web Browsers,1
195,iprice.co.id,reddoorz,ID,2021-07,Web Browsers,1
196,iprice.co.id,ruparupa,ID,2021-07,Web Browsers,1
197,iprice.co.id,taobao,ID,2021-03,Mobile Android,43
198,iprice.co.id,taobao,ID,2021-03,Web Browsers,1
199,iprice.co.id,taobao,ID,2021-04,Mobile Android,45
200,iprice.co.id,taobao,ID,2021-04,Mobile iOS,2
201,iprice.co.id,taobao,ID,2021-04,Web Browsers,1
202,iprice.co.id,taobao,ID,2021-05,Mobile Android,36
203,iprice.co.id,taobao,ID,2021-05,Mobile iOS,3
204,iprice.co.id,taobao,ID,2021-05,Web Browsers,1
205,iprice.co.id,taobao,ID,2021-06,Mobile Android,15
206,iprice.co.id,taobao,ID,2021-07,Mobile Android,6
207,iprice.co.id,taobao,ID,2021-07,Mobile iOS,1
208,iprice.co.id,watchshopping,ID,2021-09,Mobile Android,1
209,iprice.co.id,zalora,ID,2021-03,Mobile Android,8
210,iprice.co.id,zalora,ID,2021-03,Mobile iOS,11
211,iprice.co.id,zalora,ID,2021-04,Mobile Android,57
212,iprice.co.id,zalora,ID,2021-04,Mobile iOS,30
213,iprice.co.id,zalora,ID,2021-04,Web Browsers,2
214,iprice.co.id,zalora,ID,2021-05,Mobile Android,66
215,iprice.co.id,zalora,ID,2021-05,Mobile iOS,15
216,iprice.co.id,zalora,ID,2021-05,Web Browsers,5
217,iprice.co.id,zalora,ID,2021-06,Mobile Android,37
218,iprice.co.id,zalora,ID,2021-06,Mobile iOS,15
219,iprice.co.id,zalora,ID,2021-06,Web Browsers,2
220,iprice.co.id,zalora,ID,2021-07,Mobile Android,24
221,iprice.co.id,zalora,ID,2021-07,Mobile iOS,14
222,iprice.co.id,zalora,ID,2021-07,Web Browsers,2
223,iprice.co.id,zalora,ID,2021-08,Mobile Android,52
224,iprice.co.id,zalora,ID,2021-08,Mobile iOS,19
225,iprice.co.id,zalora,ID,2021-08,Web Browsers,4
226,iprice.co.id,zalora,ID,2021-09,Mobile Android,29
227,iprice.co.id,zalora,ID,2021-09,Mobile iOS,7
228,iprice.hk,AliExpress,HK,2021-03,Mobile iOS,1
229,iprice.hk,AliExpress,HK,2021-04,Web Browsers,7
230,iprice.hk,AliExpress,HK,2021-06,Mobile iOS,1
231,iprice.hk,AliExpress,HK,2021-06,Web Browsers,1
232,iprice.hk,AliExpress,HK,2021-07,Web Browsers,7
233,iprice.hk,AliExpress,HK,2021-08,Mobile iOS,1
234,iprice.hk,AliExpress,HK,2021-08,Web Browsers,1
235,iprice.hk,AliExpress,HK,2021-09,Mobile Android,1
236,iprice.hk,AliExpress,HK,2021-09,Mobile iOS,3
237,iprice.hk,AliExpress,HK,2021-09,Web Browsers,2
238,iprice.hk,Beauty Expert,HK,2021-03,Web Browsers,1
239,iprice.hk,Beauty Expert,HK,2021-04,Web Browsers,2
240,iprice.hk,Beauty Expert,HK,2021-05,Mobile iOS,1
241,iprice.hk,Beauty Expert,HK,2021-05,Web Browsers,2
242,iprice.hk,Beauty Expert,HK,2021-06,Web Browsers,2
243,iprice.hk,Beauty Expert,HK,2021-08,Web Browsers,2
244,iprice.hk,Beauty Expert,HK,2021-09,Web Browsers,2
245,iprice.hk,CJ DE Mytheresa Placement Account,HK,2021-05,Mobile Others,1
246,iprice.hk,Charles and Keith,HK,2021-06,Mobile Others,1
247,iprice.hk,Charles and Keith,HK,2021-07,Mobile Others,1
248,iprice.hk,Charles and Keith,HK,2021-08,Web Browsers,1
249,iprice.hk,Charles and Keith,HK,2021-09,Mobile iOS,1
250,iprice.hk,Cosmetic Love,HK,2021-03,Web Browsers,2
251,iprice.hk,Cosmetic Love,HK,2021-04,Mobile Android,3
252,iprice.hk,Cosmetic Love,HK,2021-04,Web Browsers,1
253,iprice.hk,Cosmetic Love,HK,2021-05,Web Browsers,7
254,iprice.hk,Cosmetic Love,HK,2021-06,Web Browsers,1
255,iprice.hk,Cosmetic Love,HK,2021-07,Mobile Android,2
256,iprice.hk,Cosmetic Love,HK,2021-07,Web Browsers,3
257,iprice.hk,Cosmetic Love,HK,2021-08,Web Browsers,2
258,iprice.hk,Cosmetic Love,HK,2021-09,Mobile Android,1
259,iprice.hk,Cosmetic Love,HK,2021-09,Web Browsers,1
260,iprice.hk,Deliveroo HK ,HK,2021-06,Mobile Others,39
261,iprice.hk,Deliveroo HK ,HK,2021-07,Mobile Others,72
262,iprice.hk,Flower Chimp,HK,2021-03,Web Browsers,1
263,iprice.hk,Flowerstore,HK,2021-03,Mobile Others,7
264,iprice.hk,Flowerstore,HK,2021-04,Mobile Others,2
265,iprice.hk,Flowerstore,HK,2021-06,Mobile Others,1
266,iprice.hk,Flowerstore,HK,2021-07,Mobile Others,1
267,iprice.hk,HK lanecrawford.com,HK,2021-07,Mobile Others,1
268,iprice.hk,HK newegg.hk,HK,2021-07,Mobile Others,1
269,iprice.hk,HK oneplus.com product,HK,2021-07,Mobile Others,1
270,iprice.hk,HK sephora.hk,HK,2021-07,Mobile Others,2
271,iprice.hk,HQhair UK,HK,2021-05,Mobile Others,3
272,iprice.hk,HQhair UK,HK,2021-06,Mobile Others,3
273,iprice.hk,HQhair UK,HK,2021-08,Mobile Others,2
274,iprice.hk,HQhair UK,HK,2021-09,Mobile Others,2
275,iprice.hk,Harvey Nichols,HK,2021-03,Mobile iOS,1
276,iprice.hk,Harvey Nichols,HK,2021-06,Mobile iOS,1
277,iprice.hk,Harvey Nichols,HK,2021-07,Mobile Others,1
278,iprice.hk,Harvey Nichols,HK,2021-07,Mobile iOS,2
279,iprice.hk,Harvey Nichols,HK,2021-09,Mobile iOS,1
280,iprice.hk,Harvey Nichols US,HK,2021-06,Mobile Others,3
281,iprice.hk,ITeSHOP CPS,HK,2021-08,Mobile Others,1
282,iprice.hk,Kidsroom,HK,2021-03,Mobile iOS,1
283,iprice.hk,Kidsroom,HK,2021-04,Mobile Android,1
284,iprice.hk,Kidsroom,HK,2021-04,Web Browsers,1
285,iprice.hk,Kidsroom,HK,2021-05,Web Browsers,2
286,iprice.hk,Kidsroom,HK,2021-06,Web Browsers,2
287,iprice.hk,Kidsroom,HK,2021-07,Web Browsers,1
288,iprice.hk,Kidsroom,HK,2021-09,Mobile iOS,1
289,iprice.hk,Kidsroom,HK,2021-09,Web Browsers,1
290,iprice.hk,Lane Crawford,HK,2021-03,Web Browsers,1
291,iprice.hk,Lane Crawford,HK,2021-04,Web Browsers,4
292,iprice.hk,Lane Crawford,HK,2021-05,Web Browsers,8
293,iprice.hk,Lane Crawford,HK,2021-06,Mobile Android,1
294,iprice.hk,Lane Crawford,HK,2021-07,Web Browsers,5
295,iprice.hk,Lane Crawford,HK,2021-08,Mobile Android,3
296,iprice.hk,Lane Crawford,HK,2021-08,Web Browsers,1
297,iprice.hk,Lane Crawford,HK,2021-09,Mobile Android,1
298,iprice.hk,Lenovo HK,HK,2021-04,Mobile Others,1
299,iprice.hk,Lenovo HK,HK,2021-07,Mobile Others,1
300,iprice.hk,Light In The Box,HK,2021-03,Mobile Android,2
301,iprice.hk,Light In The Box,HK,2021-04,Mobile iOS,1
302,iprice.hk,Light In The Box,HK,2021-05,Mobile Android,1
303,iprice.hk,Light In The Box,HK,2021-05,Mobile iOS,2
304,iprice.hk,Light In The Box,HK,2021-05,Web Browsers,1
305,iprice.hk,Light In The Box,HK,2021-06,Mobile Android,1
306,iprice.hk,Light In The Box,HK,2021-09,Mobile iOS,1
307,iprice.hk,Light In The Box,HK,2021-09,Web Browsers,2
308,iprice.hk,Look Fantastic,HK,2021-03,Mobile iOS,3
309,iprice.hk,Look Fantastic,HK,2021-03,Web Browsers,3
310,iprice.hk,Look Fantastic,HK,2021-04,Mobile iOS,4
311,iprice.hk,Look Fantastic,HK,2021-04,Web Browsers,4
312,iprice.hk,Look Fantastic,HK,2021-05,Web Browsers,1
313,iprice.hk,Look Fantastic,HK,2021-06,Mobile Android,1
314,iprice.hk,Look Fantastic,HK,2021-06,Mobile iOS,1
315,iprice.hk,Look Fantastic,HK,2021-06,Web Browsers,2
316,iprice.hk,Look Fantastic,HK,2021-07,Mobile iOS,1
317,iprice.hk,Look Fantastic,HK,2021-07,Web Browsers,2
318,iprice.hk,Look Fantastic,HK,2021-08,Mobile Android,1
319,iprice.hk,Look Fantastic,HK,2021-08,Mobile iOS,1
320,iprice.hk,Look Fantastic,HK,2021-08,Web Browsers,4
321,iprice.hk,Look Fantastic,HK,2021-09,Mobile iOS,1
322,iprice.hk,Look Fantastic,HK,2021-09,Web Browsers,4
323,iprice.hk,Mr Porter,HK,2021-03,Mobile iOS,1
324,iprice.hk,Mr Porter,HK,2021-03,Web Browsers,1
325,iprice.hk,Mr Porter,HK,2021-05,Mobile Android,1
326,iprice.hk,Mr Porter,HK,2021-05,Web Browsers,2
327,iprice.hk,Mr Porter,HK,2021-06,Web Browsers,2
328,iprice.hk,Mr Porter,HK,2021-07,Web Browsers,1
329,iprice.hk,Mr Porter,HK,2021-09,Mobile Android,1
330,iprice.hk,Nike,HK,2021-03,Mobile Others,1
331,iprice.hk,Nike,HK,2021-04,Mobile Others,1
332,iprice.hk,Nike,HK,2021-06,Mobile Others,1
333,iprice.hk,Nike,HK,2021-08,Mobile Others,1
334,iprice.hk,Pizza Hut,HK,2021-03,Mobile Others,16
335,iprice.hk,SSENSE,HK,2021-03,Mobile iOS,2
336,iprice.hk,SSENSE,HK,2021-03,Web Browsers,5
337,iprice.hk,SSENSE,HK,2021-04,Mobile iOS,4
338,iprice.hk,SSENSE,HK,2021-04,Web Browsers,2
339,iprice.hk,SSENSE,HK,2021-05,Mobile iOS,1
340,iprice.hk,SSENSE,HK,2021-06,Mobile Android,2
341,iprice.hk,SSENSE,HK,2021-06,Mobile iOS,2
342,iprice.hk,SSENSE,HK,2021-06,Web Browsers,6
343,iprice.hk,SSENSE,HK,2021-07,Mobile Android,1
344,iprice.hk,SSENSE,HK,2021-07,Mobile iOS,5
345,iprice.hk,SSENSE,HK,2021-07,Web Browsers,6
346,iprice.hk,SSENSE,HK,2021-08,Mobile Android,1
347,iprice.hk,SSENSE,HK,2021-08,Mobile iOS,1
348,iprice.hk,SSENSE,HK,2021-08,Web Browsers,5
349,iprice.hk,SSENSE,HK,2021-09,Mobile iOS,2
350,iprice.hk,SSENSE,HK,2021-09,Web Browsers,3
351,iprice.hk,Saks Fifth Avenue,HK,2021-03,Mobile Android,1
352,iprice.hk,Saks Fifth Avenue,HK,2021-03,Web Browsers,1
353,iprice.hk,Saks Fifth Avenue,HK,2021-05,Web Browsers,1
354,iprice.hk,Saks Fifth Avenue,HK,2021-06,Mobile iOS,1
355,iprice.hk,Saks Fifth Avenue,HK,2021-08,Web Browsers,2
356,iprice.hk,Saks Fifth Avenue,HK,2021-09,Mobile iOS,1
357,iprice.hk,SheIn,HK,2021-04,Mobile iOS,1
358,iprice.hk,SheIn,HK,2021-06,Mobile iOS,1
359,iprice.hk,Shopbop,HK,2021-03,Mobile iOS,1
360,iprice.hk,Shopbop,HK,2021-03,Web Browsers,2
361,iprice.hk,Shopbop,HK,2021-04,Mobile Android,3
362,iprice.hk,Shopbop,HK,2021-05,Mobile iOS,2
363,iprice.hk,Shopbop,HK,2021-05,Web Browsers,1
364,iprice.hk,Shopbop,HK,2021-06,Web Browsers,1
365,iprice.hk,Shopbop,HK,2021-09,Mobile iOS,1
366,iprice.hk,Shopee,SG,2021-04,Mobile iOS,1
367,iprice.hk,Vestiaire Collective,HK,2021-03,Mobile Others,1
368,iprice.hk,YOOX,HK,2021-07,Mobile Others,1
369,iprice.hk,YesStyle,HK,2021-07,Web Browsers,1
370,iprice.hk,YesStyle,HK,2021-09,Mobile Others,2
371,iprice.hk,Zalora,HK,2021-06,Mobile Others,1
372,iprice.hk,Zalora,HK,2021-07,Mobile Others,1
373,iprice.hk,asos,HK,2021-03,Mobile Android,1
374,iprice.hk,asos,HK,2021-03,Mobile iOS,2
375,iprice.hk,asos,HK,2021-03,Web Browsers,1
376,iprice.hk,asos,HK,2021-04,Mobile iOS,1
377,iprice.hk,asos,HK,2021-04,Web Browsers,2
378,iprice.hk,asos,HK,2021-05,Mobile iOS,1
379,iprice.hk,asos,HK,2021-05,Web Browsers,4
380,iprice.hk,asos,HK,2021-06,Mobile iOS,2
381,iprice.hk,asos,HK,2021-06,Web Browsers,2
382,iprice.hk,asos,HK,2021-07,Mobile Others,2
383,iprice.hk,asos,HK,2021-07,Mobile iOS,4
384,iprice.hk,asos,HK,2021-08,Mobile Android,3
385,iprice.hk,asos,HK,2021-08,Mobile iOS,1
386,iprice.hk,asos,HK,2021-08,Web Browsers,3
387,iprice.hk,asos,HK,2021-09,Mobile iOS,1
388,iprice.hk,asos,HK,2021-09,Web Browsers,3
389,iprice.hk,beautifiedyou,HK,2021-03,Mobile Android,1
390,iprice.hk,beautifiedyou,HK,2021-03,Web Browsers,1
391,iprice.hk,beautifiedyou,HK,2021-05,Web Browsers,1
392,iprice.hk,beautifiedyou,HK,2021-06,Mobile Android,2
393,iprice.hk,beautifiedyou,HK,2021-06,Web Browsers,3
394,iprice.hk,beautifiedyou,HK,2021-07,Web Browsers,3
395,iprice.hk,beautifiedyou,HK,2021-08,Web Browsers,5
396,iprice.hk,beautifiedyou,HK,2021-09,Mobile Android,1
397,iprice.hk,beautifiedyou,HK,2021-09,Mobile iOS,2
398,iprice.hk,beautifiedyou,HK,2021-09,Web Browsers,1
399,iprice.hk,book-depository,HK,2021-03,Web Browsers,1
400,iprice.hk,book-depository,HK,2021-04,Mobile Android,2
401,iprice.hk,book-depository,HK,2021-04,Mobile iOS,3
402,iprice.hk,book-depository,HK,2021-05,Mobile iOS,1
403,iprice.hk,book-depository,HK,2021-05,Web Browsers,2
404,iprice.hk,book-depository,HK,2021-06,Mobile iOS,1
405,iprice.hk,book-depository,HK,2021-07,Mobile iOS,1
406,iprice.hk,book-depository,HK,2021-08,Mobile iOS,1
407,iprice.hk,book-depository,HK,2021-09,Mobile Android,2
408,iprice.hk,farfetch,HK,2021-03,Mobile Others,1
409,iprice.hk,farfetch,HK,2021-03,Mobile iOS,9
410,iprice.hk,farfetch,HK,2021-03,Web Browsers,8
411,iprice.hk,farfetch,HK,2021-04,Mobile Android,1
412,iprice.hk,farfetch,HK,2021-04,Mobile iOS,13
413,iprice.hk,farfetch,HK,2021-04,Web Browsers,3
414,iprice.hk,farfetch,HK,2021-05,Mobile Others,2
415,iprice.hk,farfetch,HK,2021-05,Mobile iOS,4
416,iprice.hk,farfetch,HK,2021-05,Web Browsers,4
417,iprice.hk,farfetch,HK,2021-06,Mobile Android,1
418,iprice.hk,farfetch,HK,2021-06,Mobile Others,1
419,iprice.hk,farfetch,HK,2021-06,Mobile iOS,9
420,iprice.hk,farfetch,HK,2021-06,Web Browsers,7
421,iprice.hk,farfetch,HK,2021-07,Mobile Android,2
422,iprice.hk,farfetch,HK,2021-07,Mobile Others,3
